Lambda;R_SR;G_SR;B_SR;R_REF;G_REF;B_REF;EV;R_RAW;G_RAW;B_RAW;Filter calibration
380;0.02435;0.02265;0.0126;1418;1289.5;1206.3;0;2;1;0.5;22
390;0.02995;0.0223;0.01;1425.7;1296.6;1213;0;2.5;1.5;0.5;27
400;0.00775;0.00655;0.00125;1423.6;1295.6;1211.8;0;2;1.5;0;82
410;0.006;0.00445;0.0018;1448.7;1319.6;1235.7;0;2.5;1.5;0.5;132
420;0.0055;0.0043;0.00175;1423.8;1295.5;1212.2;0;2.5;1.5;0.5;142
430;0.00345;0.00305;0.0005;1420.6;1292.1;1208.2;0;2;1.5;0;169
440;0.0033;0.00275;0.0004;1405;1278;1195.1;0;2;1.5;0;183
450;0.0044;0.00345;0.0014;1413.7;1284.7;1200.9;0;2.5;2;0.5;181
460;0.00445;0.00325;0.00135;1411.6;1282.6;1198.9;0;2.5;1.5;0.5;173
470;0.00375;0.00265;0.0011;1427.8;1297.9;1213.8;0;2.5;1.5;0.5;208
480;0.00335;0.00275;0.00125;1452.6;1322.8;1238.8;0;2.5;2;0.5;218
490;0.0028;0.0021;0.001;1432.8;1305;1222.1;0;2;2;0.5;275
500;0.003;0.0023;0.00095;1410.8;1283;1199.9;0;2.5;1.5;0.5;255
510;0.0022;0.00175;0.00075;1447.9;1319.9;1236.5;0;2.5;2;0.5;359
520;0.0029;0.00215;0.0014;1401.2;1272.7;1189.7;0;3;2;1;339
530;0.003;0.00215;0.00085;1416.2;1287.1;1203.2;0;2.5;1.5;0.5;273
540;0.00275;0.0019;0.00075;1433.3;1304.4;1220.8;0;2.5;2;0.5;330
550;0.0015;0.0014;0.0005;1453.4;1325;1241.4;0;2;2;1;424
560;0.0013;0.00125;0.0003;1461.5;1333;1249.1;0;2;2;0;457
570;0.00165;0.00125;0.0006;1430.8;1302.6;1219.5;0;2.5;1.5;0.5;481
580;0.003;0.0021;0.00105;1435.5;1305.6;1221.3;0;2.5;2;0.5;303
590;0.00195;0.00165;0.0004;1445;1317.1;1233.6;0;2;1.5;0;316
600;0.00235;0.00175;0.0008;1489.9;1361.8;1278.4;0;2.5;2;1;319
610;0.0025;0.00195;0.00085;1429.2;1301.6;1218.7;0;2.5;1.5;0.5;292
620;0.0025;0.0019;0.00075;1448.3;1321.3;1238.5;0;2.5;1.5;0.5;281
630;0.00355;0.0027;0.00115;1413.7;1286.1;1203.4;0;2.5;2;0.5;233
640;0.0024;0.0022;0.0009;1404.6;1276;1192.5;0;2;1.5;0.5;235
650;0.0035;0.0027;0.00175;1402.7;1273.9;1190.6;0;2.5;1.5;1;230
660;0.00265;0.0023;0.00185;1396.2;1268.5;1186.3;0;2;1.5;1;233
670;0.0033;0.00235;0.0008;1405.7;1277;1193.4;0;2.5;1.5;0.5;256
680;0.0044;0.0032;0.00215;1407.4;1279.4;1196.9;0;3;2;1;217
690;0.00345;0.00255;0.0011;1386.7;1258.2;1174.8;0;2.5;2;0.5;252
700;0.0148;0.0056;0.00105;1393.7;1265.4;1181.8;0;10.5;4;1;249
710;0.1774;0.0556;0.00675;1405.5;1276.8;1193.3;0;131;41.5;5;254
720;0.53765;0.16725;0.01615;1412.5;1282.7;1198.4;0;399.5;124.5;12;254
730;0.8863;0.26545;0.0232;1412.3;1282.7;1198.7;0;580.5;174;15.5;224
740;1;0.3267;0.02585;1410.2;1281.6;1198.6;0;709.5;232;18.5;243
750;0.9677;0.38985;0.0244;1413.1;1285.3;1201.9;0;671;271;17;237
760;0.9596;0.446;0.02535;1402.9;1275.4;1192.3;0;546;254.5;14.5;196
770;0.9557;0.4829;0.0329;1400.5;1272;1188.9;0;524;265;18;189
780;0.87845;0.49325;0.0616;1414.3;1286.3;1203.2;0;506.5;285.5;35.5;197
790;0.80465;0.5117;0.1799;1403.4;1275.5;1192.1;0;451.5;287.5;101;193
800;0.76415;0.54025;0.3802;1400.4;1272.4;1189.3;0;434.5;307.5;216.5;196
810;0.70295;0.55465;0.5318;1398;1269.4;1186.6;0;390.5;308;296;192
820;0.66135;0.56095;0.57725;1417.2;1288.1;1204.6;0;372.5;317;326;192
830;0.6229;0.5707;0.55395;1406.9;1278.8;1195.7;0;241.5;221.5;215;133
840;0.5692;0.5366;0.5179;1406.7;1279.1;1195.8;0;308;291;281.5;186
860;0.4857;0.47125;0.43125;1406;1277.5;1194.1;0;225;218.5;200;159
880;0.38075;0.36255;0.3653;1402.2;1273.8;1189.9;0;181.5;173;174.5;164
900;0.3118;0.3036;0.2898;1476.7;1349.7;1267.2;0;145;142;136.5;152
950;0.18125;0.18175;0.17;1428.3;1299.2;1215.5;0;83.5;84;78.5;156
1000;0.10505;0.10275;0.09925;1426.8;1298.8;1216.2;0;50.5;49.5;47.5;162
1050;0.034;0.03265;0.02915;1411.5;1283.5;1200.3;0;17.5;16.5;14.5;174
1100;0.01305;0.01215;0.0102;1422;1293.3;1209.8;0;8.5;7.5;6.5;214
